occurrence_id,dataset_id,last_interpreted,accepted_scientific_name,species_id,species,kingdom,class,order,family,genus,taxon_rank,taxonomic_status,event_date,year,month,day,latitude,longitude,location_uncertainty_m,country_code,record_type,occurrence_status,issues,media_url
1344132279,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:04:54.819+00:00,"Sturnus vulgaris Linnaeus, 1758",9809229,Sturnus vulgaris,Animalia,Aves,Passeriformes,Sturnidae,Sturnus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.135387,8.195087,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135010,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:03:50.853+00:00,"Bucephala clangula (Linnaeus, 1758)",2498326,Bucephala clangula,Animalia,Aves,Anseriformes,Anatidae,Bucephala,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135011,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T17:59:03.221+00:00,"Fringilla coelebs Linnaeus, 1758",2494422,Fringilla coelebs,Animalia,Aves,Passeriformes,Fringillidae,Fringilla,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135012,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:05:48.439+00:00,"Aythya ferina (Linnaeus, 1758)",2498255,Aythya ferina,Animalia,Aves,Anseriformes,Anatidae,Aythya,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135014,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:04:59.054+00:00,"Turdus merula Linnaeus, 1758",2490719,Turdus merula,Animalia,Aves,Passeriformes,Turdidae,Turdus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135015,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:02:29.769+00:00,"Cyanistes caeruleus (Linnaeus, 1758)",2487879,Cyanistes caeruleus,Animalia,Aves,Passeriformes,Paridae,Cyanistes,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135020,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:00:11.753+00:00,"Chroicocephalus ridibundus (Linnaeus, 1766)",6065824,Chroicocephalus ridibundus,Animalia,Aves,Charadriiformes,Laridae,Chroicocephalus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135021,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:02:33.705+00:00,"Corvus corone Linnaeus, 1758",9409796,Corvus corone,Animalia,Aves,Passeriformes,Corvidae,Corvus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135024,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T17:58:52.979+00:00,"Fringilla montifringilla Linnaeus, 1758",2494441,Fringilla montifringilla,Animalia,Aves,Passeriformes,Fringillidae,Fringilla,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135025,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:04:15.178+00:00,"Chloris chloris (Linnaeus, 1758)",5845582,Chloris chloris,Animalia,Aves,Passeriformes,Fringillidae,Chloris,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135027,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:04:48.667+00:00,"Carduelis carduelis (Linnaeus, 1758)",2494686,Carduelis carduelis,Animalia,Aves,Passeriformes,Fringillidae,Carduelis,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135028,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:00:59.617+00:00,"Fulica atra Linnaeus, 1758",2474377,Fulica atra,Animalia,Aves,Gruiformes,Rallidae,Fulica,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135029,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:02:52.848+00:00,"Pica pica (Linnaeus, 1758)",5229490,Pica pica,Animalia,Aves,Passeriformes,Corvidae,Pica,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135718,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:04:36.565+00:00,"Passer montanus (Linnaeus, 1758)",5231198,Passer montanus,Animalia,Aves,Passeriformes,Passeridae,Passer,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135723,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:02:35.758+00:00,"Turdus pilaris Linnaeus, 1758",2490737,Turdus pilaris,Animalia,Aves,Passeriformes,Turdidae,Turdus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135726,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:05:22.060+00:00,"Erithacus rubecula (Linnaeus, 1758)",2492462,Erithacus rubecula,Animalia,Aves,Passeriformes,Muscicapidae,Erithacus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135732,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:05:50.837+00:00,"Sturnus vulgaris Linnaeus, 1758",9809229,Sturnus vulgaris,Animalia,Aves,Passeriformes,Sturnidae,Sturnus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135736,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:01:24.285+00:00,"Anas platyrhynchos Linnaeus, 1758",9761484,Anas platyrhynchos,Animalia,Aves,Anseriformes,Anatidae,Anas,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135737,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T17:59:10.201+00:00,"Podiceps cristatus (Linnaeus, 1758)",2482054,Podiceps cristatus,Animalia,Aves,Podicipediformes,Podicipedidae,Podiceps,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135738,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T17:59:32.130+00:00,"Tachybaptus ruficollis (Pallas, 1764)",2482048,Tachybaptus ruficollis,Animalia,Aves,Podicipediformes,Podicipedidae,Tachybaptus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135739,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:01:07.487+00:00,"Parus major Linnaeus, 1758",9705453,Parus major,Animalia,Aves,Passeriformes,Paridae,Parus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135740,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:05:08.007+00:00,"Mareca strepera (Linnaeus, 1758)",9362027,Mareca strepera,Animalia,Aves,Anseriformes,Anatidae,Mareca,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135741,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:00:52.111+00:00,"Phalacrocorax carbo (Linnaeus, 1758)",2481890,Phalacrocorax carbo,Animalia,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135742,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:02:31.100+00:00,"Motacilla cinerea Tunstall, 1771",2490310,Motacilla cinerea,Animalia,Aves,Passeriformes,Motacillidae,Motacilla,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135744,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:02:33.409+00:00,"Ardea cinerea Linnaeus, 1758",9797180,Ardea cinerea,Animalia,Aves,Pelecaniformes,Ardeidae,Ardea,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135745,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:00:30.911+00:00,"Larus michahellis J.F.Naumann, 1840",9413670,Larus michahellis,Animalia,Aves,Charadriiformes,Laridae,Larus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135747,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:00:07.391+00:00,"Poecile palustris (Linnaeus, 1758)",2487843,Poecile palustris,Animalia,Aves,Passeriformes,Paridae,Poecile,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
1344135748,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,2026-07-18T18:04:42.267+00:00,"Cygnus olor (J.F.Gmelin, 1789)",2498343,Cygnus olor,Animalia,Aves,Anseriformes,Anatidae,Cygnus,SPECIES,ACCEPTED,2015-01-01,2015,1,1,47.120045,8.184954,,CH,HUMAN_OBSERVATION,PRESENT,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_CONCEPT_ID_NOT_FOUND']",
